protocol,key_bits,plaintext_bytes,seed,enc_ms,dec_ms,classical_security,post_grover_security
AES-128,128,512,0,0.0241,0.0115,128,64
AES-128,128,512,1,0.0131,0.0096,128,64
AES-128,128,512,2,0.012,0.0094,128,64
AES-128,128,512,3,0.0118,0.0092,128,64
AES-128,128,512,4,0.0117,0.0093,128,64
AES-128,128,512,5,0.0116,0.0092,128,64
AES-128,128,512,6,0.0117,0.0091,128,64
AES-128,128,512,7,0.0116,0.0092,128,64
AES-128,128,512,8,0.0115,0.0091,128,64
AES-128,128,512,9,0.012,0.0092,128,64
AES-128,128,512,10,0.0115,0.009,128,64
AES-128,128,512,11,0.0115,0.0092,128,64
AES-128,128,512,12,0.0118,0.0092,128,64
AES-128,128,512,13,0.0115,0.0091,128,64
AES-128,128,512,14,0.0117,0.0092,128,64
AES-128,128,512,15,0.0116,0.0091,128,64
AES-128,128,512,16,0.0116,0.0164,128,64
AES-128,128,512,17,0.0127,0.0093,128,64
AES-128,128,512,18,0.0116,0.009,128,64
AES-128,128,512,19,0.0116,0.009,128,64
AES-128,128,512,20,0.0124,0.0097,128,64
AES-128,128,512,21,0.0119,0.0092,128,64
AES-128,128,512,22,0.0117,0.0091,128,64
AES-128,128,512,23,0.0117,0.0091,128,64
AES-128,128,512,24,0.0116,0.0093,128,64
AES-128,128,512,25,0.0117,0.0094,128,64
AES-128,128,512,26,0.0118,0.0093,128,64
AES-128,128,512,27,0.0117,0.0091,128,64
AES-128,128,512,28,0.0117,0.0091,128,64
AES-128,128,512,29,0.0121,0.0091,128,64
AES-128,128,512,30,0.0118,0.0092,128,64
AES-128,128,512,31,0.0119,0.0097,128,64
AES-128,128,512,32,0.0117,0.0092,128,64
AES-128,128,512,33,0.0124,0.0095,128,64
AES-128,128,512,34,0.0118,0.0093,128,64
AES-128,128,512,35,0.0329,0.0159,128,64
AES-128,128,512,36,0.0126,0.0091,128,64
AES-128,128,512,37,0.0119,0.0091,128,64
AES-128,128,512,38,0.0118,0.0089,128,64
AES-128,128,512,39,0.0117,0.0091,128,64
AES-128,128,512,40,0.0118,0.0092,128,64
AES-128,128,512,41,0.0118,0.0092,128,64
AES-128,128,512,42,0.0118,0.0091,128,64
AES-128,128,512,43,0.0117,0.009,128,64
AES-128,128,512,44,0.0117,0.0093,128,64
AES-128,128,512,45,0.0119,0.0094,128,64
AES-128,128,512,46,0.0142,0.0097,128,64
AES-128,128,512,47,0.0126,0.0096,128,64
AES-128,128,512,48,0.0125,0.0097,128,64
AES-128,128,512,49,0.0127,0.0095,128,64
AES-256,256,512,0,0.0356,0.0142,256,128
AES-256,256,512,1,0.015,0.0114,256,128
AES-256,256,512,2,0.0139,0.0111,256,128
AES-256,256,512,3,0.0132,0.0111,256,128
AES-256,256,512,4,0.0135,0.0106,256,128
AES-256,256,512,5,0.0124,0.0097,256,128
AES-256,256,512,6,0.0122,0.0096,256,128
