protocol,n_qubits,seed,eve,qber,key_length
BB84,64,19,False,0.0,33
BB84,64,20,True,24.242,33
BB84,64,20,False,0.0,33
BB84,64,21,True,28.0,25
BB84,64,21,False,0.0,25
BB84,64,22,True,20.93,43
BB84,64,22,False,0.0,43
BB84,64,23,True,17.647,34
BB84,64,23,False,0.0,34
BB84,64,24,True,33.333,33
BB84,64,24,False,0.0,33
BB84,64,25,True,27.273,33
BB84,64,25,False,0.0,33
BB84,64,26,True,34.375,32
BB84,64,26,False,0.0,32
BB84,64,27,True,32.143,28
BB84,64,27,False,0.0,28
BB84,64,28,True,27.027,37
BB84,64,28,False,0.0,37
BB84,64,29,True,28.125,32
BB84,64,29,False,0.0,32
BB84,64,30,True,16.129,31
BB84,64,30,False,0.0,31
BB84,64,31,True,8.571,35
BB84,64,31,False,0.0,35
BB84,64,32,True,25.0,36
BB84,64,32,False,0.0,36
BB84,64,33,True,20.588,34
BB84,64,33,False,0.0,34
BB84,64,34,True,11.111,36
BB84,64,34,False,0.0,36
BB84,64,35,True,32.258,31
BB84,64,35,False,0.0,31
BB84,64,36,True,23.333,30
BB84,64,36,False,0.0,30
BB84,64,37,True,42.308,26
BB84,64,37,False,0.0,26
BB84,64,38,True,20.0,40
BB84,64,38,False,0.0,40
BB84,64,39,True,35.294,34
BB84,64,39,False,0.0,34
BB84,64,40,True,25.806,31
BB84,64,40,False,0.0,31
BB84,64,41,True,24.138,29
BB84,64,41,False,0.0,29
BB84,64,42,True,25.0,28
BB84,64,42,False,0.0,28
BB84,64,43,True,29.032,31
BB84,64,43,False,0.0,31
BB84,64,44,True,30.303,33
BB84,64,44,False,0.0,33
BB84,64,45,True,27.027,37
BB84,64,45,False,0.0,37
BB84,64,46,True,20.0,25
BB84,64,46,False,0.0,25
BB84,64,47,True,18.421,38
BB84,64,47,False,0.0,38
BB84,64,48,True,36.364,33
BB84,64,48,False,0.0,33
BB84,64,49,True,23.684,38
BB84,64,49,False,0.0,38
BB84,128,0,True,19.672,61
BB84,128,0,False,0.0,61
BB84,128,1,True,30.0,60
BB84,128,1,False,0.0,60
BB84,128,2,True,24.194,62
BB84,128,2,False,0.0,62
BB84,128,3,True,25.397,63
BB84,128,3,False,0.0,63
BB84,128,4,True,24.615,65
BB84,128,4,False,0.0,65
BB84,128,5,True,27.419,62
BB84,128,5,False,0.0,62
BB84,128,6,True,18.462,65
BB84,128,6,False,0.0,65
BB84,128,7,True,20.0,70
BB84,128,7,False,0.0,70
BB84,128,8,True,31.148,61
BB84,128,8,False,0.0,61
BB84,128,9,True,24.561,57
BB84,128,9,False,0.0,57
BB84,128,10,True,28.788,66
BB84,128,10,False,0.0,66
BB84,128,11,True,20.312,64
BB84,128,11,False,0.0,64
BB84,128,12,True,21.875,64
BB84,128,12,False,0.0,64
BB84,128,13,True,22.535,71
BB84,128,13,False,0.0,71
BB84,128,14,True,24.638,69
BB84,128,14,False,0.0,69
BB84,128,15,True,26.087,69
BB84,128,15,False,0.0,69
BB84,128,16,True,26.154,65
BB84,128,16,False,0.0,65
BB84,128,17,True,26.316,57
BB84,128,17,False,0.0,57
BB84,128,18,True,25.641,78
BB84,128,18,False,0.0,78
BB84,128,19,True,23.188,69
BB84,128,19,False,0.0,69
BB84,128,20,True,27.536,69
BB84,128,20,False,0.0,69
BB84,128,21,True,42.647,68
BB84,128,21,False,0.0,68
BB84,128,22,True,20.0,60
BB84,128,22,False,0.0,60
BB84,128,23,True,13.043,69
BB84,128,23,False,0.0,69
BB84,128,24,True,23.333,60
BB84,128,24,False,0.0,60
BB84,128,25,True,21.875,64
BB84,128,25,False,0.0,64
BB84,128,26,True,30.159,63
BB84,128,26,False,0.0,63
BB84,128,27,True,22.059,68
BB84,128,27,False,0.0,68
BB84,128,28,True,20.968,62
BB84,128,28,False,0.0,62
BB84,128,29,True,24.286,70
BB84,128,29,False,0.0,70
BB84,128,30,True,20.0,65
BB84,128,30,False,0.0,65
BB84,128,31,True,19.355,62
BB84,128,31,False,0.0,62
BB84,128,32,True,41.935,62
BB84,128,32,False,0.0,62
BB84,128,33,True,25.0,68
BB84,128,33,False,0.0,68
BB84,128,34,True,30.769,65
BB84,128,34,False,0.0,65
BB84,128,35,True,24.59,61
BB84,128,35,False,0.0,61
BB84,128,36,True,28.788,66
BB84,128,36,False,0.0,66
BB84,128,37,True,29.508,61
BB84,128,37,False,0.0,61
BB84,128,38,True,36.667,60
BB84,128,38,False,0.0,60
BB84,128,39,True,28.125,64
BB84,128,39,False,0.0,64
BB84,128,40,True,23.333,60
BB84,128,40,False,0.0,60
BB84,128,41,True,19.403,67
BB84,128,41,False,0.0,67
BB84,128,42,True,12.069,58
BB84,128,42,False,0.0,58
BB84,128,43,True,17.568,74
BB84,128,43,False,0.0,74
BB84,128,44,True,19.672,61
BB84,128,44,False,0.0,61
BB84,128,45,True,22.535,71
BB84,128,45,False,0.0,71
BB84,128,46,True,30.0,60
BB84,128,46,False,0.0,60
BB84,128,47,True,26.027,73
BB84,128,47,False,0.0,73
BB84,128,48,True,27.778,54
BB84,128,48,False,0.0,54
BB84,128,49,True,29.032,62
BB84,128,49,False,0.0,62
