protocol,prime_idx,prime,key_bits,seed,attack_steps,attack_time_ms,keygen_time_ms
DH,4,107,7,3,13,0.0028,0.001
DH,4,107,7,4,13,0.0026,0.0008
DH,4,107,7,5,18,0.0028,0.001
DH,4,107,7,6,20,0.0031,0.0011
DH,4,107,7,7,14,0.0026,0.001
DH,4,107,7,8,13,0.0025,0.001
DH,4,107,7,9,16,0.0031,0.001
DH,4,107,7,10,17,0.003,0.001
DH,4,107,7,11,16,0.0028,0.001
DH,4,107,7,12,16,0.0027,0.001
DH,4,107,7,13,14,0.0025,0.001
DH,4,107,7,14,12,0.0023,0.0009
DH,4,107,7,15,13,0.0023,0.0009
DH,4,107,7,16,15,0.0029,0.0011
DH,4,107,7,17,17,0.0028,0.001
DH,4,107,7,18,13,0.0025,0.0009
DH,4,107,7,19,19,0.0029,0.0009
DH,4,107,7,20,19,0.0031,0.0012
DH,4,107,7,21,13,0.0024,0.0011
DH,4,107,7,22,12,0.0023,0.0009
DH,4,107,7,23,20,0.0031,0.0013
DH,4,107,7,24,19,0.003,0.0012
DH,4,107,7,25,15,0.0028,0.0011
DH,4,107,7,26,19,0.0029,0.001
DH,4,107,7,27,18,0.003,0.0013
DH,4,107,7,28,12,0.0024,0.0009
DH,4,107,7,29,17,0.0029,0.0009
DH,4,107,7,30,17,0.0027,0.0012
DH,4,107,7,31,11,0.0024,0.0009
DH,4,107,7,32,12,0.0023,0.0009
DH,4,107,7,33,17,0.003,0.0011
DH,4,107,7,34,17,0.0027,0.0011
DH,4,107,7,35,17,0.0029,0.0009
DH,4,107,7,36,15,0.0026,0.0008
DH,4,107,7,37,19,0.0029,0.0011
DH,4,107,7,38,18,0.0032,0.0012
DH,4,107,7,39,13,0.0025,0.0011
DH,4,107,7,40,16,0.0027,0.001
DH,4,107,7,41,15,0.0028,0.001
DH,4,107,7,42,18,0.0029,0.0009
DH,4,107,7,43,11,0.0024,0.0008
DH,4,107,7,44,15,0.0027,0.0011
DH,4,107,7,45,14,0.0025,0.0011
DH,4,107,7,46,12,0.0024,0.0015
DH,4,107,7,47,15,0.0027,0.0012
DH,4,107,7,48,17,0.0028,0.001
DH,4,107,7,49,11,0.0022,0.0008
DH,5,167,8,0,14,0.006,0.0023
DH,5,167,8,1,15,0.0035,0.0011
DH,5,167,8,2,14,0.0029,0.0008
DH,5,167,8,3,17,0.0031,0.0014
DH,5,167,8,4,17,0.0032,0.0011
DH,5,167,8,5,19,0.0031,0.0012
DH,5,167,8,6,18,0.0029,0.0011
DH,5,167,8,7,13,0.0024,0.0009
DH,5,167,8,8,17,0.0029,0.0009
DH,5,167,8,9,15,0.0027,0.0013
DH,5,167,8,10,18,0.0029,0.0008
DH,5,167,8,11,15,0.0027,0.0012
DH,5,167,8,12,16,0.0027,0.0012
DH,5,167,8,13,18,0.003,0.0009
DH,5,167,8,14,15,0.0027,0.0011
DH,5,167,8,15,17,0.0028,0.0008
DH,5,167,8,16,13,0.0024,0.0011
DH,5,167,8,17,17,0.0029,0.0012
DH,5,167,8,18,16,0.0028,0.0008
DH,5,167,8,19,14,0.0026,0.001
DH,5,167,8,20,16,0.0027,0.0009
DH,5,167,8,21,16,0.0027,0.001
DH,5,167,8,22,15,0.0027,0.0009
DH,5,167,8,23,18,0.003,0.001
DH,5,167,8,24,14,0.0025,0.0012
DH,5,167,8,25,14,0.0025,0.0008
DH,5,167,8,26,17,0.0028,0.0011
DH,5,167,8,27,16,0.0027,0.0012
DH,5,167,8,28,15,0.0026,0.0009
DH,5,167,8,29,17,0.0028,0.0011
DH,5,167,8,30,17,0.0029,0.001
DH,5,167,8,31,13,0.0023,0.0008
DH,5,167,8,32,14,0.0026,0.0009
DH,5,167,8,33,18,0.0029,0.0009
DH,5,167,8,34,17,0.0029,0.0012
DH,5,167,8,35,17,0.0029,0.0012
DH,5,167,8,36,13,0.0024,0.0009
DH,5,167,8,37,18,0.0027,0.0011
DH,5,167,8,38,19,0.003,0.0013
DH,5,167,8,39,17,0.003,0.0011
DH,5,167,8,40,15,0.0027,0.0013
DH,5,167,8,41,14,0.0026,0.0011
DH,5,167,8,42,19,0.0034,0.0012
DH,5,167,8,43,13,0.0024,0.001
DH,5,167,8,44,14,0.0026,0.0012
DH,5,167,8,45,18,0.0029,0.0011
DH,5,167,8,46,14,0.0026,0.0009
DH,5,167,8,47,13,0.0023,0.0009
DH,5,167,8,48,17,0.0026,0.0011
DH,5,167,8,49,14,0.0027,0.001
DH,6,179,8,0,21,0.0082,0.002
DH,6,179,8,1,16,0.0052,0.0012
DH,6,179,8,2,15,0.0047,0.0009
DH,6,179,8,3,18,0.0053,0.0014
DH,6,179,8,4,18,0.0051,0.0012
DH,6,179,8,5,25,0.0065,0.0012
DH,6,179,8,6,24,0.0064,0.0011
DH,6,179,8,7,20,0.0056,0.0011
DH,6,179,8,8,18,0.0053,0.0011
DH,6,179,8,9,22,0.006,0.0013
DH,6,179,8,10,24,0.0063,0.0009
DH,6,179,8,11,22,0.0059,0.0012
DH,6,179,8,12,22,0.0059,0.0013
DH,6,179,8,13,18,0.0051,0.0011
DH,6,179,8,14,16,0.0047,0.0012
DH,6,179,8,15,17,0.0049,0.0009
DH,6,179,8,16,20,0.0055,0.0013
DH,6,179,8,17,23,0.0062,0.0012
DH,6,179,8,18,17,0.005,0.0009
DH,6,179,8,19,26,0.0067,0.0011
DH,6,179,8,20,26,0.0067,0.0012
DH,6,179,8,21,17,0.0049,0.0012
DH,6,179,8,22,16,0.0048,0.0009
DH,6,179,8,23,19,0.0053,0.0011
DH,6,179,8,24,21,0.0057,0.0012
DH,6,179,8,25,21,0.0057,0.0009
DH,6,179,8,26,17,0.0049,0.0012
DH,6,179,8,27,26,0.0067,0.0012
DH,6,179,8,28,16,0.0047,0.0011
DH,6,179,8,29,24,0.0063,0.0011
DH,6,179,8,30,24,0.0063,0.0011
DH,6,179,8,31,14,0.0043,0.001
DH,6,179,8,32,15,0.0046,0.0009
DH,6,179,8,33,24,0.0063,0.001
DH,6,179,8,34,23,0.0061,0.0012
DH,6,179,8,35,24,0.0064,0.0012
DH,6,179,8,36,20,0.0055,0.001
DH,6,179,8,37,26,0.0067,0.0013
DH,6,179,8,38,25,0.0065,0.0013
DH,6,179,8,39,17,0.005,0.0011
DH,6,179,8,40,22,0.006,0.0015
DH,6,179,8,41,21,0.0033,0.0011
DH,6,179,8,42,25,0.0032,0.001
DH,6,179,8,43,14,0.0024,0.0009
DH,6,179,8,44,21,0.003,0.0011
DH,6,179,8,45,19,0.0029,0.001
DH,6,179,8,46,15,0.0026,0.001
DH,6,179,8,47,20,0.0029,0.0009
DH,6,179,8,48,24,0.0033,0.0011
DH,6,179,8,49,15,0.0025,0.0009
DH,7,227,8,0,29,0.0066,0.0019
DH,7,227,8,1,18,0.0037,0.0012
DH,7,227,8,2,29,0.0043,0.0014
DH,7,227,8,3,19,0.0033,0.0012
DH,7,227,8,4,19,0.0033,0.0012
DH,7,227,8,5,26,0.0038,0.001
DH,7,227,8,6,28,0.0041,0.0012
DH,7,227,8,7,21,0.0033,0.0009
DH,7,227,8,8,19,0.003,0.0009
DH,7,227,8,9,23,0.0035,0.0012
DH,7,227,8,10,25,0.0035,0.0009
DH,7,227,8,11,23,0.0035,0.0012
DH,7,227,8,12,23,0.0035,0.0012
DH,7,227,8,13,20,0.0031,0.001
DH,7,227,8,14,17,0.003,0.0011
DH,7,227,8,15,19,0.003,0.0009
DH,7,227,8,16,21,0.0034,0.0012
DH,7,227,8,17,24,0.0035,0.0012
DH,7,227,8,18,19,0.0032,0.0009
DH,7,227,8,19,26,0.0038,0.0011
DH,7,227,8,20,27,0.0038,0.0012
DH,7,227,8,21,18,0.003,0.001
DH,7,227,8,22,18,0.0029,0.0008
DH,7,227,8,23,28,0.004,0.0011
DH,7,227,8,24,27,0.0039,0.0012
DH,7,227,8,25,22,0.0034,0.0011
DH,7,227,8,26,28,0.0038,0.0011
DH,7,227,8,27,26,0.0038,0.0011
DH,7,227,8,28,17,0.003,0.001
DH,7,227,8,29,24,0.0037,0.0011
DH,7,227,8,30,24,0.0036,0.0011
DH,7,227,8,31,16,0.0028,0.0009
DH,7,227,8,32,17,0.0029,0.0009
DH,7,227,8,33,25,0.0036,0.001
DH,7,227,8,34,24,0.004,0.0013
DH,7,227,8,35,24,0.0037,0.0012
DH,7,227,8,36,21,0.0033,0.0009
DH,7,227,8,37,27,0.0039,0.0011
DH,7,227,8,38,26,0.0038,0.0011
DH,7,227,8,39,19,0.0032,0.0011
DH,7,227,8,40,23,0.0034,0.0012
DH,7,227,8,41,22,0.0035,0.0011
DH,7,227,8,42,26,0.0039,0.001
DH,7,227,8,43,16,0.0028,0.0009
DH,7,227,8,44,22,0.0032,0.0011
DH,7,227,8,45,20,0.0032,0.0011
DH,7,227,8,46,17,0.0029,0.0009
DH,7,227,8,47,21,0.0031,0.0009
DH,7,227,8,48,24,0.0036,0.001
DH,7,227,8,49,17,0.0029,0.001
DH,8,263,9,0,21,0.008,0.0022
DH,8,263,9,1,21,0.0064,0.0012
DH,8,263,9,2,18,0.0052,0.001
DH,8,263,9,3,24,0.0063,0.0013
DH,8,263,9,4,24,0.0063,0.0013
DH,8,263,9,5,17,0.0049,0.0013
DH,8,263,9,6,19,0.0052,0.0014
DH,8,263,9,7,19,0.0053,0.0015
DH,8,263,9,8,23,0.006,0.0015
DH,8,263,9,9,23,0.0062,0.0014
DH,8,263,9,10,18,0.005,0.0012
DH,8,263,9,11,23,0.0061,0.0013
DH,8,263,9,12,23,0.0061,0.0013
DH,8,263,9,13,17,0.0048,0.0012
DH,8,263,9,14,20,0.0054,0.001
DH,8,263,9,15,23,0.0061,0.001
DH,8,263,9,16,20,0.0055,0.0014
DH,8,263,9,17,21,0.0057,0.0013
DH,8,263,9,18,22,0.0059,0.0012
DH,8,263,9,19,18,0.005,0.0011
DH,8,263,9,20,21,0.0056,0.0013
DH,8,263,9,21,22,0.0059,0.0013
DH,8,263,9,22,21,0.0056,0.0012
DH,8,263,9,23,18,0.005,0.0012
DH,8,263,9,24,20,0.0055,0.0013
DH,8,263,9,25,20,0.0055,0.0011
DH,8,263,9,26,23,0.0062,0.0012
DH,8,263,9,27,23,0.006,0.0015
DH,8,263,9,28,20,0.0055,0.0011
DH,8,263,9,29,19,0.0053,0.0012
DH,8,263,9,30,18,0.005,0.001
DH,8,263,9,31,17,0.0049,0.001
DH,8,263,9,32,19,0.0052,0.0012
DH,8,263,9,33,22,0.0058,0.0013
DH,8,263,9,34,20,0.0055,0.001
DH,8,263,9,35,19,0.0053,0.0013
DH,8,263,9,36,19,0.0052,0.0013
DH,8,263,9,37,19,0.0052,0.0011
DH,8,263,9,38,22,0.0059,0.0013
DH,8,263,9,39,23,0.006,0.0012
DH,8,263,9,40,23,0.0061,0.0011
DH,8,263,9,41,20,0.0055,0.0012
DH,8,263,9,42,20,0.0055,0.001
DH,8,263,9,43,18,0.0051,0.0011
DH,8,263,9,44,21,0.0057,0.0012
DH,8,263,9,45,17,0.0049,0.0013
DH,8,263,9,46,19,0.0052,0.0012
DH,8,263,9,47,20,0.0054,0.0012
DH,8,263,9,48,18,0.0051,0.0013
DH,8,263,9,49,19,0.0053,0.0011
DH,9,347,9,0,29,0.0078,0.0025
DH,9,347,9,1,22,0.005,0.0017
DH,9,347,9,2,20,0.0042,0.0012
DH,9,347,9,3,25,0.0046,0.0017
DH,9,347,9,4,25,0.0043,0.0014
DH,9,347,9,5,35,0.0054,0.0014
DH,9,347,9,6,34,0.0053,0.0015
DH,9,347,9,7,27,0.0047,0.0015
DH,9,347,9,8,25,0.0044,0.0017
DH,9,347,9,9,31,0.0049,0.0018
DH,9,347,9,10,34,0.0054,0.0012
DH,9,347,9,11,31,0.005,0.0014
DH,9,347,9,12,31,0.0049,0.0016
DH,9,347,9,13,26,0.0044,0.0016
DH,9,347,9,14,21,0.0039,0.0015
DH,9,347,9,15,24,0.0042,0.0011
DH,9,347,9,16,28,0.0045,0.0015
DH,9,347,9,17,33,0.0047,0.0017
DH,9,347,9,18,23,0.0046,0.0078
DH,9,347,9,19,20,0.0037,0.0014
DH,9,347,9,20,23,0.0039,0.0016
DH,9,347,9,21,23,0.0038,0.0013
DH,9,347,9,22,22,0.0035,0.0015
DH,9,347,9,23,26,0.0039,0.0014
DH,9,347,9,24,29,0.0044,0.0016
DH,9,347,9,25,29,0.0048,0.0011
DH,9,347,9,26,24,0.0041,0.0018
DH,9,347,9,27,36,0.0053,0.0018
DH,9,347,9,28,22,0.0033,0.0013
DH,9,347,9,29,33,0.0051,0.0015
DH,9,347,9,30,33,0.005,0.0015
DH,9,347,9,31,19,0.0036,0.0011
DH,9,347,9,32,21,0.0037,0.0014
DH,9,347,9,33,34,0.0051,0.0015
DH,9,347,9,34,33,0.0051,0.0014
DH,9,347,9,35,33,0.0052,0.0018
DH,9,347,9,36,27,0.0044,0.0014
DH,9,347,9,37,35,0.0052,0.0014
DH,9,347,9,38,36,0.0055,0.0017
DH,9,347,9,39,24,0.0043,0.0015
DH,9,347,9,40,31,0.0049,0.0016
DH,9,347,9,41,29,0.0045,0.0015
DH,9,347,9,42,36,0.0053,0.0016
DH,9,347,9,43,20,0.0036,0.0013
DH,9,347,9,44,30,0.0046,0.0016
DH,9,347,9,45,26,0.0043,0.0016
DH,9,347,9,46,21,0.0036,0.0015
DH,9,347,9,47,28,0.004,0.0013
DH,9,347,9,48,33,0.0051,0.0016
DH,9,347,9,49,20,0.0036,0.0013
ECC,0,97,7,0,0,0.0009,0.0503
ECC,0,97,7,1,3,0.0056,0.0419
ECC,0,97,7,2,3,0.0046,0.0271
ECC,0,97,7,3,1,0.0019,0.0411
ECC,0,97,7,4,1,0.0019,0.0289
ECC,0,97,7,5,0,0.0005,0.0452
ECC,0,97,7,6,4,0.005,0.0343
ECC,0,97,7,7,2,0.0032,0.04
ECC,0,97,7,8,0,0.0004,0.0424
ECC,0,97,7,9,0,0.0004,0.0348
ECC,0,97,7,10,4,0.005,0.0326
ECC,0,97,7,11,3,0.0044,0.0524
ECC,0,97,7,12,1,0.0019,0.0426
ECC,0,97,7,13,4,0.0048,0.0347
ECC,0,97,7,14,4,0.0048,0.0226
ECC,0,97,7,15,2,0.0032,0.0278
ECC,0,97,7,16,2,0.0032,0.0426
ECC,0,97,7,17,2,0.0031,0.0385
ECC,0,97,7,18,4,0.0049,0.0279
ECC,0,97,7,19,2,0.0032,0.0388
ECC,0,97,7,20,3,0.0045,0.0491
ECC,0,97,7,21,2,0.0031,0.0375
ECC,0,97,7,22,3,0.0044,0.0393
ECC,0,97,7,23,3,0.0045,0.0388
ECC,0,97,7,24,2,0.0031,0.0504
ECC,0,97,7,25,4,0.0048,0.026
ECC,0,97,7,26,1,0.0019,0.0493
ECC,0,97,7,27,4,0.0049,0.0364
ECC,0,97,7,28,0,0.0004,0.0318
ECC,0,97,7,29,1,0.0018,0.0395
ECC,0,97,7,30,0,0.0004,0.0517
ECC,0,97,7,31,2,0.0021,0.04
ECC,0,97,7,32,0,0.0004,0.0202
ECC,0,97,7,33,4,0.0031,0.0224
ECC,0,97,7,34,3,0.0028,0.0254
ECC,0,97,7,35,1,0.001,0.0264
ECC,0,97,7,36,3,0.0027,0.0214
ECC,0,97,7,37,3,0.0027,0.0284
ECC,0,97,7,38,2,0.0021,0.0237
ECC,0,97,7,39,2,0.0019,0.0184
ECC,0,97,7,40,4,0.0029,0.0215
ECC,0,97,7,41,4,0.0029,0.0197
ECC,0,97,7,42,2,0.0019,0.0247
ECC,0,97,7,43,0,0.0003,0.0197
ECC,0,97,7,44,3,0.0027,0.0278
ECC,0,97,7,45,0,0.0002,0.0215
ECC,0,97,7,46,0,0.0003,0.0218
ECC,0,97,7,47,1,0.0011,0.015
ECC,0,97,7,48,1,0.0011,0.0238
ECC,0,97,7,49,4,0.0029,0.0153
