protocol,input_bytes,seed,hash_ms,classical_preimage_bits,post_grover_preimage_bits,classical_collision_bits,post_grover_collision_bits
SHA-256,16384,1,0.0345,256,128,128,85
SHA-256,16384,2,0.0341,256,128,128,85
SHA-256,16384,3,0.0341,256,128,128,85
SHA-256,16384,4,0.0341,256,128,128,85
SHA-256,16384,5,0.0338,256,128,128,85
SHA-256,16384,6,0.0337,256,128,128,85
SHA-256,16384,7,0.0337,256,128,128,85
SHA-256,16384,8,0.0336,256,128,128,85
SHA-256,16384,9,0.0337,256,128,128,85
SHA-256,16384,10,0.0337,256,128,128,85
SHA-256,16384,11,0.0336,256,128,128,85
SHA-256,16384,12,0.0336,256,128,128,85
SHA-256,16384,13,0.0336,256,128,128,85
SHA-256,16384,14,0.0336,256,128,128,85
SHA-256,16384,15,0.0337,256,128,128,85
SHA-256,16384,16,0.0336,256,128,128,85
SHA-256,16384,17,0.0336,256,128,128,85
SHA-256,16384,18,0.0337,256,128,128,85
SHA-256,16384,19,0.0336,256,128,128,85
SHA-256,16384,20,0.0336,256,128,128,85
SHA-256,16384,21,0.0336,256,128,128,85
SHA-256,16384,22,0.034,256,128,128,85
SHA-256,16384,23,0.034,256,128,128,85
SHA-256,16384,24,0.0336,256,128,128,85
SHA-256,16384,25,0.0339,256,128,128,85
SHA-256,16384,26,0.034,256,128,128,85
SHA-256,16384,27,0.0338,256,128,128,85
SHA-256,16384,28,0.0341,256,128,128,85
SHA-256,16384,29,0.0343,256,128,128,85
SHA-256,16384,30,0.0346,256,128,128,85
SHA-256,16384,31,0.0343,256,128,128,85
SHA-256,16384,32,0.0339,256,128,128,85
SHA-256,16384,33,0.0351,256,128,128,85
SHA-256,16384,34,0.0342,256,128,128,85
SHA-256,16384,35,0.0446,256,128,128,85
SHA-256,16384,36,0.0346,256,128,128,85
SHA-256,16384,37,0.034,256,128,128,85
SHA-256,16384,38,0.0339,256,128,128,85
SHA-256,16384,39,0.0337,256,128,128,85
SHA-256,16384,40,0.0337,256,128,128,85
SHA-256,16384,41,0.0336,256,128,128,85
SHA-256,16384,42,0.0338,256,128,128,85
SHA-256,16384,43,0.0344,256,128,128,85
SHA-256,16384,44,0.0337,256,128,128,85
SHA-256,16384,45,0.0338,256,128,128,85
SHA-256,16384,46,0.0341,256,128,128,85
SHA-256,16384,47,0.0339,256,128,128,85
SHA-256,16384,48,0.0338,256,128,128,85
SHA-256,16384,49,0.0337,256,128,128,85
